City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Coquimbo,CL,2021-12-01 23:49:56,-29.9533,-71.3436,62.33,72,0,10.36
181,Yaransk,RU,2021-12-01 23:49:57,57.3033,47.8861,25.32,86,42,12.82
182,Lagoa,PT,2021-12-01 23:48:28,39.05,-27.9833,62.53,85,15,10.6
183,Kavieng,PG,2021-12-01 23:49:57,-2.5744,150.7967,84.9,66,95,7.61
184,Peniche,PT,2021-12-01 23:49:57,39.3558,-9.3811,55.62,77,100,23.82
185,Joniskis,LT,2021-12-01 23:49:58,56.2403,23.6153,27.52,96,100,16.06
186,Yulara,AU,2021-12-01 23:49:58,-25.2406,130.9889,89.44,18,0,3.44
187,Bandarbeyla,SO,2021-12-01 23:49:58,9.4942,50.8122,75.31,62,0,14.18
188,Hvide Sande,DK,2021-12-01 23:49:59,56.0045,8.1294,32.29,71,100,29.12
189,The Valley,AI,2021-12-01 23:46:50,18.217,-63.0578,81.1,78,20,11.5
190,Nizhniy Tsasuchey,RU,2021-12-01 23:49:59,50.5167,115.1333,15.01,63,9,21.16
191,Caravelas,BR,2021-12-01 23:49:59,-17.7125,-39.2481,76.39,92,84,13.13
192,Vardo,NO,2021-12-01 23:50:00,70.3705,31.1107,32.2,58,100,31.99
193,Georgetown,MY,2021-12-01 23:45:27,5.4112,100.3354,78.73,88,40,5.01
194,Zhigansk,RU,2021-12-01 23:50:00,66.7697,123.3711,-41.35,99,69,6.08
195,Nampa,US,2021-12-01 23:50:00,43.5407,-116.5635,56.41,68,1,0.0
196,Gorey,IE,2021-12-01 23:50:01,52.6747,-6.2925,40.57,83,55,12.57
197,Hami,CN,2021-12-01 23:50:01,42.8,93.45,24.82,62,40,3.62
198,Maarianhamina,AX,2021-12-01 23:50:01,60.0973,19.9348,21.06,86,0,5.75
199,Pemba,MZ,2021-12-01 23:50:02,-12.974,40.5178,79.38,76,6,7.67
200,Dakar,SN,2021-12-01 23:48:52,14.6937,-17.4441,74.28,88,100,4.61
201,Ancud,CL,2021-12-01 23:50:02,-41.8697,-73.8203,54.93,70,82,7.43
202,Richards Bay,ZA,2021-12-01 23:50:02,-28.783,32.0377,73.62,83,10,14.25
203,Erzincan,TR,2021-12-01 23:50:03,39.75,39.5,25.97,87,41,2.73
204,Saint-Francois,FR,2021-12-01 23:50:03,46.4154,3.9054,42.24,88,90,4.61
205,Villanueva De Cordoba,ES,2021-12-01 23:50:03,38.3228,-4.6287,44.33,83,100,12.53
206,Provideniya,RU,2021-12-01 23:50:04,64.3833,-173.3,-1.64,50,0,6.71
207,Lebu,CL,2021-12-01 23:50:04,-37.6167,-73.65,56.3,87,87,10.09
208,Castro,BR,2021-12-01 23:50:04,-24.7911,-50.0119,66.34,81,16,7.74
209,Necochea,AR,2021-12-01 23:50:05,-38.5473,-58.7368,68.04,59,0,15.48
210,Denpasar,ID,2021-12-01 23:50:05,-8.65,115.2167,78.46,88,40,2.3
211,Takoradi,GH,2021-12-01 23:50:05,4.8845,-1.7554,79.83,83,76,7.43
212,Wahiawa,US,2021-12-01 23:50:06,21.5028,-158.0236,79.47,63,40,12.66
213,Yeppoon,AU,2021-12-01 23:50:06,-23.1333,150.7333,83.98,69,0,6.91
214,Clyde River,CA,2021-12-01 23:48:08,70.4692,-68.5914,7.03,85,100,27.63
215,Presidencia Roque Saenz Pena,AR,2021-12-01 23:50:06,-26.7852,-60.4388,73.29,51,1,7.11
216,Port-Cartier,CA,2021-12-01 23:50:07,50.0334,-66.8654,28.51,92,100,4.27
217,Mahanoro,MG,2021-12-01 23:50:07,-19.9,48.8,73.53,88,78,1.68
218,Krasnoselkup,RU,2021-12-01 23:50:07,65.7,82.4667,-1.34,96,99,13.73
219,Saskylakh,RU,2021-12-01 23:50:08,71.9167,114.0833,-34.26,100,98,0.92
220,Kysyl-Syr,RU,2021-12-01 23:50:08,63.8986,122.7617,-26.54,100,96,3.11
221,Wronki,PL,2021-12-01 23:50:08,52.7105,16.3804,46.62,70,100,23.11
222,Isetskoye,RU,2021-12-01 23:50:09,56.4858,65.3226,36.3,77,100,14.34
223,Lewiston,US,2021-12-01 23:49:19,44.1003,-70.2148,38.41,74,20,0.0
224,Tiznit,MA,2021-12-01 23:50:09,29.5833,-9.5,54.12,50,0,2.46
225,Atar,MR,2021-12-01 23:50:09,20.5169,-13.0499,69.71,14,99,10.58
226,Batagay,RU,2021-12-01 23:50:10,67.6333,134.6333,-42.68,100,97,0.67
227,Alpena,US,2021-12-01 23:50:10,45.0617,-83.4327,36.18,86,90,4.0
228,Pyay,MM,2021-12-01 23:45:40,18.8167,95.2167,65.39,89,31,6.06
229,Hanahan,US,2021-12-01 23:50:10,32.9185,-80.022,57.88,63,75,6.91
230,Zyryanka,RU,2021-12-01 23:50:11,65.75,150.85,-42.11,100,36,3.69
231,Tiksi,RU,2021-12-01 23:50:11,71.6872,128.8694,-28.43,100,82,4.83
232,Sinjar,IQ,2021-12-01 23:50:12,36.3209,41.8754,50.79,63,44,7.23
233,Shkurinskaya,RU,2021-12-01 23:50:12,46.5858,39.3599,37.36,83,23,11.86
234,Airai,TL,2021-12-01 23:50:12,-8.9266,125.4092,70.38,63,100,2.37
235,Kodiak,US,2021-12-01 23:50:13,57.79,-152.4072,17.11,73,90,20.71
236,Pangody,RU,2021-12-01 23:50:13,65.85,74.4859,-0.58,96,100,12.62
237,Half Moon Bay,US,2021-12-01 23:46:13,37.4636,-122.4286,75.52,53,1,0.0
238,Pochutla,MX,2021-12-01 23:50:13,15.7432,-96.4661,76.87,72,81,3.74
239,Lindas,NO,2021-12-01 23:50:14,60.7381,5.16,28.49,72,75,8.19
240,Casper,US,2021-12-01 23:45:42,42.8666,-106.3131,63.19,27,1,24.16
241,Nicoya,CR,2021-12-01 23:50:14,10.1483,-85.452,80.15,92,100,3.31
242,Longavi,CL,2021-12-01 23:50:14,-35.9667,-71.6833,63.75,38,60,9.44
243,Sinnamary,GF,2021-12-01 23:50:15,5.3833,-52.95,78.31,89,100,11.01
244,Henties Bay,NA,2021-12-01 23:50:15,-22.116,14.2845,59.86,93,0,3.94
245,Acarau,BR,2021-12-01 23:50:15,-2.8856,-40.12,80.73,77,74,14.29
246,Torbay,CA,2021-12-01 23:50:16,47.6666,-52.7314,38.68,82,40,6.91
247,La Paz,BO,2021-12-01 23:50:16,-16.5,-68.15,55.38,71,75,4.61
248,Agadez,NE,2021-12-01 23:50:16,19.75,10.25,64.69,17,57,7.9
249,Pacifica,US,2021-12-01 23:46:21,37.6138,-122.4869,75.33,55,1,7.0
250,Port Hardy,CA,2021-12-01 23:50:17,50.6996,-127.4199,50.18,87,90,14.97
251,Ponta Do Sol,PT,2021-12-01 23:50:17,32.6667,-17.1,65.71,67,24,6.6
